gap,other_skill_mean,seed,fail_rate,domain_gini,researcher_gini,mean_pubs,mean_reputation,exploit_frac,explore_frac,train_frac
0.0,0.32,7,0.6984062116877809,0.08706896551724119,0.3737391508327468,13.92,4.413668264472287,0.9031241619737195,0.061142397425583264,0.03573344060069724
0.0,0.32,0,0.7278481012658228,0.08373493975903612,0.37379518072289164,13.28,4.76525848441315,0.8787878787878788,0.07341110217216412,0.04780101903995709
0.0,0.32,1,0.7116320212295445,0.1333789329685362,0.3826812585499315,14.62,5.271934815635598,0.8399705014749262,0.08112094395280237,0.07890855457227139
0.0,0.32,6,0.7160826594788859,0.07034120734908123,0.3816272965879266,15.24,5.702445706264294,0.8364172700455886,0.08480825958702065,0.07877447036739073
0.0,0.32,8,0.6726078799249531,0.11968787515005985,0.35584633853541425,16.66,6.178245002856054,0.8028962188254224,0.08601501743094664,0.111088763743631
0.0,0.32,5,0.7291763610981852,0.04922394678492226,0.3724168514412416,18.04,7.0653050797464,0.7971305980155537,0.09204880665057656,0.11082059533386968
0.0,0.32,3,0.7024567788898999,0.049107142857142794,0.32598396501457727,17.92,6.656574669116667,0.8077902923035667,0.09667471171895951,0.09553499597747385
0.0,0.32,2,0.6835094166283877,0.09976580796252921,0.4269942168905032,17.08,5.940832599120098,0.8061812818449987,0.09593724859211585,0.09788146956288549
0.0,0.32,9,0.6794258373205742,0.05762538382804494,0.37058341862845445,19.54,7.688625866338884,0.7643470099222311,0.10411638508983642,0.13153660498793243
0.0,0.32,4,0.6966556759302873,0.07061611374407573,0.3898829674049715,16.88,6.275108734965667,0.7801689460981497,0.10512201662644141,0.11470903727540896
0.0,0.32,10,0.7064090480678605,0.07376681614349767,0.40134529147982057,17.84,6.638031792185566,0.7947841244301421,0.09057388039688925,0.11464199517296862
0.0,0.32,14,0.7018551236749117,0.06293333333333329,0.38960544217687065,15.0,5.492451119257567,0.8426521855725395,0.08172432287476536,0.0756234915526951
0.0,0.32,13,0.6986692015209125,0.07213483146067401,0.4409438202247191,17.8,6.2490147904222395,0.7862697774202199,0.09432823813354786,0.11940198444623223
0.0,0.32,11,0.709741550695825,0.047216494845360835,0.38615611192930777,19.4,7.3393861621255745,0.7493966210780371,0.110686511128989,0.139916867792974
0.0,0.32,12,0.6830548926014319,0.05466946484784874,0.41194123819517303,19.06,7.282976078280706,0.7652185572539555,0.10599356395816573,0.12878787878787878
0.1,0.31,1,0.6747109100050277,0.043174250832408445,0.41470125786163536,18.02,6.336502748188109,0.7407481898632341,0.10994904800214535,0.14930276213462054
0.1,0.31,0,0.6905927134312126,0.1052742616033755,0.36041505209678815,18.96,7.330887744201215,0.6818852239206221,0.12811745776347547,0.18999731831590239
0.1,0.31,6,0.6861626248216833,0.10650602409638554,0.4000983525940496,16.6,6.1985731697275614,0.7801689460981497,0.1028425851434701,0.11698846875838026
0.1,0.31,5,0.6937436932391524,0.06674528301886773,0.4223623411628803,16.96,6.140230183956369,0.7327701796728345,0.11330115312416197,0.1539286672030035
0.1,0.31,2,0.7042093287827076,0.08388625592417043,0.4089668246445497,21.1,7.871800787343549,0.6566773934030571,0.140117994100295,0.2032046124966479
0.1,0.31,10,0.6850753080785029,0.07278401997503114,0.3321868073071925,16.02,5.863252121892154,0.8126843657817109,0.08648431214802896,0.10083132207026012
0.1,0.31,9,0.676056338028169,0.13673469387755088,0.37806659505907625,18.62,7.754348109022837,0.7259318852239206,0.1139715741485653,0.16009654062751408
0.1,0.31,3,0.6857825567502986,0.07135325131810188,0.4065026362038664,22.76,8.717506704845617,0.6163180477339769,0.1543309198176455,0.22935103244837757
0.1,0.31,8,0.686436024162548,0.0839080459770114,0.40850446761776804,19.14,6.8668219149549,0.6898632341110217,0.12228479485116653,0.18785197103781173
0.1,0.31,4,0.6725605762933857,0.11260504201680654,0.33340336134453774,19.04,7.533990497218768,0.5602038079914186,0.16358272995441137,0.27621346205417
0.1,0.31,7,0.6729944886711574,0.06849183477425536,0.3572910662824207,20.82,8.164532102393958,0.6052561008313221,0.14896755162241887,0.24577634754625904
0.1,0.31,12,0.6710593005575266,0.04046890927624869,0.41706713266346296,19.62,7.166971512928331,0.7270045588629659,0.12556985787074282,0.14742558326629124
0.1,0.31,14,0.7073662966700303,0.04701834862385312,0.36105504587155957,17.44,6.595567083120795,0.7408152319656744,0.11075355323142934,0.14843121480289623
0.1,0.31,13,0.7122340425531914,0.03621262458471741,0.34323366555924695,18.06,7.14126013060283,0.694355054974524,0.12215071064628587,0.18349423437919013
0.1,0.31,11,0.6591954022988505,0.0763209393346378,0.44023483365949123,20.44,7.599281110598222,0.6385760257441674,0.1378385626173237,0.22358541163850898
0.18,0.302,1,0.667932718393923,0.0672396359959555,0.39383215369059665,19.78,7.424981647229856,0.6623759721104854,0.13133547868061143,0.2062885492089032
0.18,0.302,0,0.6770682148040639,0.08159806295399497,0.40676351896690877,24.78,9.760752928610435,0.5116653258246179,0.17699115044247787,0.31134352373290425
0.18,0.302,5,0.6823697359029265,0.11960038058991418,0.3975832540437678,21.02,8.275047891382108,0.5132743362831859,0.17384017162778226,0.31288549208903194
0.18,0.302,6,0.6543478260869565,0.08945102260495141,0.39842841765339077,18.58,6.802809846009694,0.5058997050147492,0.1731027085009386,0.32099758648431215
0.18,0.302,10,0.677710843373494,0.16083499005964197,0.4007952286282306,20.12,8.12365276704638,0.6116251005631537,0.14621882542236525,0.24215607401448108
0.18,0.302,9,0.635743519781719,0.0915207373271889,0.3705990783410138,21.7,8.516491588820028,0.5361356932153393,0.1710244033252883,0.2928399034593725
